,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
1553,33000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.sevenmovie.com/,807,"[{""id"": 476, ""name"": ""self-fulfilling prophecy""}, {""id"": 703, ""name"": ""detective""}, {""id"": 1470, ""name"": ""s.w.a.t.""}, {""id"": 2231, ""name"": ""drug dealer""}, {""id"": 3597, ""name"": ""evisceration""}, {""id"": 3857, ""name"": ""lust and impulsiveness""}, {""id"": 3927, ""name"": ""rage and hate""}, {""id"": 3932, ""name"": ""pride and vanity""}, {""id"": 4138, ""name"": ""immoderateness""}, {""id"": 4142, ""name"": ""insomnia""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 6125, ""name"": ""pension""}, {""id"": 6149, ""name"": ""police""}, {""id"": 10714, ""name"": ""serial killer""}]",en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",79.579532,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Juno Pix"", ""id"": 4286}, {""name"": ""Cecchi Gori Pictures"", ""id"": 65394}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1995-09-22,327311859,127.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Seven deadly sins. Seven ways to die.,Se7en,8.1,5765
3573,9000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.otnemem.com/,77,"[{""id"": 30, ""name"": ""individual""}, {""id"": 328, ""name"": ""insulin""}, {""id"": 331, ""name"": ""tattoo""}, {""id"": 828, ""name"": ""waitress""}, {""id"": 1453, ""name"": ""amnesia""}, {""id"": 2669, ""name"": ""motel""}, {""id"": 3973, ""name"": ""insurance salesman""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 11469, ""name"": ""memory loss""}, {""id"": 33874, ""name"": ""polaroid""}, {""id"": 187844, ""name"": ""flashback""}, {""id"": 207268, ""name"": ""neo-noir""}]",en,Memento,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",60.715151,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Newmarket Capital Group"", ""id"": 506}, {""name"": ""Team Todd"", ""id"": 598}, {""name"": ""I Remember Productions"", ""id"": 34446}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-10-11,39723096,113.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Some memories are best forgotten.,Memento,8.1,4028
2091,19000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,274,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 6259, ""name"": ""psychopath""}, {""id"": 8087, ""name"": ""horror""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 12565, ""name"": ""psychological thriller""}, {""id"": 14895, ""name"": ""cannibal""}, {""id"": 18525, ""name"": ""fbi agent""}, {""id"": 33872, ""name"": ""animal in cast credits""}, {""id"": 208048, ""name"": ""cannibalism""}]",en,The Silence of the Lambs,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",18.174804,"[{""name"": ""Orion Pictures"", ""id"": 41}, {""name"": ""Strong Heart/Demme Production"", ""id"": 55072}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1991-02-01,272742922,119.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,To enter the mind of a killer she must challenge the mind of a madman.,The Silence of the Lambs,8.1,4443
1196,40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",http://wwws.warnerbros.de/theprestige/,1124,"[{""id"": 271, ""name"": ""competition""}, {""id"": 1328, ""name"": ""secret""}, {""id"": 1523, ""name"": ""obsession""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 4034, ""name"": ""class society""}, {""id"": 4662, ""name"": ""illusion""}, {""id"": 4988, ""name"": ""tricks""}, {""id"": 6062, ""name"": ""hostility""}, {""id"": 6069, ""name"": ""class""}, {""id"": 9823, ""name"": ""rivalry""}]",en,The Prestige,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",74.440708,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Syncopy"", ""id"": 9996}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-10-19,109676311,130.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Are You Watching Closely?,The Prestige,8.0,4391
2285,19000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",http://www.backtothefuture.com/movies/backtothefuture1,105,"[{""id"": 389, ""name"": ""clock tower""}, {""id"": 830, ""name"": ""car race""}, {""id"": 949, ""name"": ""terrorist""}, {""id"": 951, ""name"": ""delorean""}, {""id"": 952, ""name"": ""lightning""}, {""id"": 953, ""name"": ""guitar""}, {""id"": 955, ""name"": ""plutonium""}, {""id"": 999, ""name"": ""sports car""}, {""id"": 1436, ""name"": ""inventor""}, {""id"": 1743, ""name"": ""journey in the past""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 4776, ""name"": ""race against time""}, {""id"": 9104, ""name"": ""partner""}, {""id"": 9789, ""name"": ""misfit""}, {""id"": 10125, ""name"": ""mad scientist""}, {""id"": 11860, ""name"": ""fish out of water""}, {""id"": 18425, ""name"": ""teenage love""}, {""id"": 40850, ""name"": ""destiny""}, {""id"": 186189, ""name"": ""hidden identity""}, {""id"": 187376, ""name"": ""odd couple""}, {""id"": 187710, ""name"": ""escapade""}, {""id"": 189449, ""name"": ""disorder""}, {""id"": 206687, ""name"": ""chases and races""}, {""id"": 206715, ""name"": ""love and romance""}, {""id"": 206720, ""name"": ""teenage life""}, {""id"": 206735, ""name"": ""misfit partners""}, {""id"": 206736, ""name"": ""changing the past or future""}, {""id"": 206737, ""name"": ""getting home""}, {""id"": 206738, ""name"": ""inventions and discoveries""}]",en,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",76.603233,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""U-Drive Productions"", ""id"": 20448}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1985-07-03,381109762,116.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,He's the only kid ever to get into trouble before he was born.,Back to the Future,8.0,6079
1532,30000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",,120467,"[{""id"": 612, ""name"": ""hotel""}, {""id"": 5918, ""name"": ""painting""}, {""id"": 11159, ""name"": ""wartime""}, {""id"": 12371, ""name"": ""gunfight""}, {""id"": 14604, ""name"": ""theft""}, {""id"": 172772, ""name"": ""mentor prot\u00e9g\u00e9 relationship""}, {""id"": 181046, ""name"": ""european""}, {""id"": 188688, ""name"": ""hotel lobby""}, {""id"": 207257, ""name"": ""renaissance painting""}]",en,The Grand Budapest Hotel,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",74.417456,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Indian Paintbrush"", ""id"": 9350}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""American Empirical Pictures"", ""id"": 23449}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",2014-02-26,174600318,99.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,A perfect holiday without leaving home.,The Grand Budapest Hotel,8.0,4519
2522,14000000,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",http://theimitationgamemovie.com/,205596,"[{""id"": 237, ""name"": ""gay""}, {""id"": 392, ""name"": ""england""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 2303, ""name"": ""mathematician""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 208394, ""name"": ""logician""}, {""id"": 208395, ""name"": ""cryptography""}]",en,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",145.364591,"[{""name"": ""Black Bear Pictures"", ""id"": 22146}, {""name"": ""Bristol Automotive"", ""id"": 38145}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2014-11-14,233555708,113.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The true enigma was the man who cracked the code.,The Imitation Game,8.0,5723
4300,1200000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",,500,"[{""id"": 2052, ""name"": ""traitor""}, {""id"": 6099, ""name"": ""jewelry""}, {""id"": 6259, ""name"": ""psychopath""}, {""id"": 9727, ""name"": ""thief""}, {""id"": 10051, ""name"": ""heist""}, {""id"": 10085, ""name"": ""betrayal""}, {""id"": 10092, ""name"": ""mystery""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 10726, ""name"": ""gang""}, {""id"": 11071, ""name"": ""plan gone wrong""}, {""id"": 157892, ""name"": ""warehouse""}, {""id"": 159753, ""name"": ""ensemble cast""}, {""id"": 170313, ""name"": ""all male cast""}, {""id"": 171826, ""name"": ""told in flashback""}, {""id"": 177438, ""name"": ""heist gone wrong""}, {""id"": 201058, ""name"": ""foreshadowing""}, {""id"": 207784, ""name"": ""rendezvous""}, {""id"": 224552, ""name"": ""iconic""}, {""id"": 233069, ""name"": ""set in one room""}, {""id"": 233072, ""name"": ""uneasy alliance""}, {""id"": 233073, ""name"": ""rag tag group""}]",en,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",66.925866,"[{""name"": ""Live Entertainment"", ""id"": 285}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Dog Eat Dog Productions Inc."", ""id"": 26198}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1992-09-02,14661007,99.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Every dog has his day.,Reservoir Dogs,8.0,3697
494,45000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",http://movies.disney.com/the-lion-king,8587,"[{""id"": 2143, ""name"": ""loss of parents""}, {""id"": 5276, ""name"": ""wild boar""}, {""id"": 6464, ""name"": ""uncle""}, {""id"": 11326, ""name"": ""shaman""}, {""id"": 11436, ""name"": ""redemption""}, {""id"": 13084, ""name"": ""king""}, {""id"": 14767, ""name"": ""scar""}, {""id"": 18136, ""name"": ""hyena""}, {""id"": 18153, ""name"": ""meerkat""}]",en,The Lion King,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,90.457886,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Feature Animation"", ""id"": 10217}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-06-23,788241776,89.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Life's greatest adventure is finding your place in the Circle of Life.,The Lion King,8.0,5376
77,175000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",http://movies.disney.com/inside-out,150540,"[{""id"": 1566, ""name"": ""dream""}, {""id"": 6513, ""name"": ""cartoon""}, {""id"": 7942, ""name"": ""imaginary friend""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 18035, ""name"": ""family""}, {""id"": 18253, ""name"": ""moving""}, {""id"": 161155, ""name"": ""kids""}, {""id"": 163227, ""name"": ""unicorn""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 211269, ""name"": ""emotions""}]",en,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",128.655964,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-09,857611174,94.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Meet the little voices inside your head.,Inside Out,8.0,6560
330,79000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",http://www.lordoftherings.net/,121,"[{""id"": 603, ""name"": ""elves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 609, ""name"": ""middle-earth (tolkien)""}, {""id"": 611, ""name"": ""hobbit""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1653, ""name"": ""explosive""}, {""id"": 1964, ""name"": ""cave""}, {""id"": 4268, ""name"": ""fort""}, {""id"": 6092, ""name"": ""army""}, {""id"": 10364, ""name"": ""mission""}, {""id"": 10563, ""name"": ""attack""}, {""id"": 33788, ""name"": ""guide""}, {""id"": 177912, ""name"": ""wizard""}, {""id"": 189093, ""name"": ""ring""}, {""id"": 234213, ""name"": ""sword and sorcery""}]",en,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",106.914973,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""The Saul Zaentz Company"", ""id"": 5237}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-12-18,926287400,179.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A New Power Is Rising.,The Lord of the Rings: The Two Towers,8.0,7487
262,93000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",http://www.lordoftherings.net/,120,"[{""id"": 603, ""name"": ""elves""}, {""id"": 604, ""name"": ""dwarves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 609, ""name"": ""middle-earth (tolkien)""}, {""id"": 611, ""name"": ""hobbit""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1262, ""name"": ""mountains""}, {""id"": 2407, ""name"": ""fireworks""}, {""id"": 3098, ""name"": ""castle""}, {""id"": 3347, ""name"": ""volcano""}, {""id"": 4587, ""name"": ""password""}, {""id"": 4959, ""name"": ""death of a friend""}, {""id"": 6464, ""name"": ""uncle""}, {""id"": 46951, ""name"": ""mirror""}, {""id"": 177912, ""name"": ""wizard""}, {""id"": 234213, ""name"": ""sword and sorcery""}]",en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",138.049577,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""The Saul Zaentz Company"", ""id"": 5237}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-12-18,871368364,178.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8.0,8705
693,61000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",http://www.gonegirlmovie.com/,210577,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 5809, ""name"": ""marriage crisis""}, {""id"": 10941, ""name"": ""disappearance""}, {""id"": 11513, ""name"": ""cheating husband""}, {""id"": 156091, ""name"": ""missing person""}, {""id"": 169962, ""name"": ""search party""}, {""id"": 191199, ""name"": ""criminal lawyer""}, {""id"": 199073, ""name"": ""wife murder""}, {""id"": 207431, ""name"": ""murder suspect""}, {""id"": 222665, ""name"": ""missing wife""}]",en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",143.041543,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Pacific Standard"", ""id"": 15829}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Artemple - Hollywood"", ""id"": 60682}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-10-01,369330363,145.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You don't know what you've got 'til it's...,Gone Girl,7.9,5862
274,103000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",,98,"[{""id"": 588, ""name"": ""rome""}, {""id"": 1394, ""name"": ""gladiator""}, {""id"": 1395, ""name"": ""arena""}, {""id"": 1399, ""name"": ""senate""}, {""id"": 1405, ""name"": ""roman empire""}, {""id"": 2280, ""name"": ""emperor""}, {""id"": 2831, ""name"": ""slavery""}, {""id"": 10141, ""name"": ""battlefield""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 14704, ""name"": ""ancient world""}, {""id"": 15300, ""name"": ""father daughter relationship""}, {""id"": 18543, ""name"": ""combat""}, {""id"": 157499, ""name"": ""mother son relationship""}, {""id"": 160840, ""name"": ""dream sequence""}, {""id"": 179780, ""name"": ""chariot""}, {""id"": 192230, ""name"": ""philosopher""}, {""id"": 235791, ""name"": ""barbarian horde""}, {""id"": 235792, ""name"": ""2nd century""}, {""id"": 235793, ""name"": ""successor""}]",en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",95.301296,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}, {""name"": ""Mill Film"", ""id"": 21904}, {""name"": ""C & L"", ""id"": 21905}, {""name"": ""Dawliz"", ""id"": 21906}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-05-01,457640427,155.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A Hero Will Rise.,Gladiator,7.9,5439
2152,20000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.eternalsunshine.com,38,"[{""id"": 563, ""name"": ""deja vu""}, {""id"": 802, ""name"": ""regret""}, {""id"": 931, ""name"": ""jealousy""}, {""id"": 1453, ""name"": ""amnesia""}, {""id"": 1566, ""name"": ""dream""}, {""id"": 1604, ""name"": ""operation""}, {""id"": 5625, ""name"": ""relationship problems""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10937, ""name"": ""memory""}, {""id"": 12400, ""name"": ""brainwashing""}, {""id"": 14534, ""name"": ""relationship""}, {""id"": 34265, ""name"": ""heartbreak""}, {""id"": 157171, ""name"": ""nonlinear timeline""}, {""id"": 204374, ""name"": ""love story""}, {""id"": 224279, ""name"": ""bittersweet""}]",en,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",56.481487,"[{""name"": ""Anonymous Content"", ""id"": 10039}, {""name"": ""This Is That Productions"", ""id"": 10059}, {""name"": ""Focus Features"", ""id"": 10146}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-03-19,72258126,108.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You can erase someone from your mind. Getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,7.9,3652
1997,23000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}]",http://www.herthemovie.com/,152601,"[{""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 6104, ""name"": ""computer""}, {""id"": 9673, ""name"": ""love""}, {""id"": 9957, ""name"": ""loneliness""}, {""id"": 12375, ""name"": ""transhumanism""}, {""id"": 34265, ""name"": ""heartbreak""}, {""id"": 40847, ""name"": ""near future""}, {""id"": 223540, ""name"": ""singularity""}, {""id"": 224279, ""name"": ""bittersweet""}]",en,Her,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theordore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",53.682367,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Annapurna Pictures"", ""id"": 13184}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-12-18,47351251,126.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A Spike Jonze Love Story,Her,7.9,4097
94,170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",http://marvel.com/guardians,118340,"[{""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 9882, ""name"": ""space""}, {""id"": 12405, ""name"": ""outer space""}, {""id"": 13014, ""name"": ""orphan""}, {""id"": 175428, ""name"": ""adventurer""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe""}]",en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",481.098624,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}, {""name"": ""Bulletproof Cupid"", ""id"": 54850}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-07-30,773328629,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742
